name,slug, kW,date_of_information,ranking,region
"Denmark","denmark","20,794,000","2023",50,"Europe"
"Kuwait","kuwait","20,294,000","2023",51,"Middle East"
"Romania","romania","19,748,000","2023",52,"Europe"
"Uzbekistan","uzbekistan","17,901,000","2023",53,"Central Asia"
"Peru","peru","16,164,000","2023",54,"South America"
"Hungary","hungary","14,829,000","2023",55,"Europe"
"Morocco","morocco","14,615,000","2023",56,"Africa"
"Hong Kong","hong-kong","13,300,000","2023",57,"East and Southeast Asia"
"Singapore","singapore","13,134,000","2023",58,"East and Southeast Asia"
"Bulgaria","bulgaria","12,939,000","2023",59,"Europe"
"Laos","laos","12,738,000","2023",60,"East and Southeast Asia"
"Belarus","belarus","12,653,000","2023",61,"Europe"
"Ireland","ireland","12,321,000","2023",62,"Europe"
"Oman","oman","11,589,000","2023",63,"Middle East"
"Qatar","qatar","11,400,000","2023",64,"Middle East"
"New Zealand","new-zealand","10,643,000","2023",65,"Australia and Oceania"
"Libya","libya","10,519,000","2023",66,"Africa"
"Syria","syria","9,636,000","2023",67,"Middle East"
"Paraguay","paraguay","8,928,000","2023",68,"South America"
"Ecuador","ecuador","8,438,000","2023",69,"South America"
"Azerbaijan","azerbaijan","8,383,000","2023",70,"Central Asia"
"Korea, North","korea-north","8,357,000","2023",71,"East and Southeast Asia"
"Serbia","serbia","8,202,000","2023",72,"Europe"
"Slovakia","slovakia","8,138,000","2023",73,"Europe"
"Angola","angola","7,600,000","2023",74,"Africa"
"Burma","burma","7,419,000","2023",75,"East and Southeast Asia"
"Cuba","cuba","7,264,000","2023",76,"Central America and the Caribbean"
"Bahrain","bahrain","7,031,000","2023",77,"Middle East"
"Puerto Rico","puerto-rico","6,898,000","2023",78,"Central America and the Caribbean"
"Jordan","jordan","6,891,000","2023",79,"Middle East"
"Tunisia","tunisia","6,639,000","2023",80,"Africa"
"Dominican Republic","dominican-republic","6,581,000","2023",81,"Central America and the Caribbean"
"Turkmenistan","turkmenistan","6,512,000","2023",82,"Central Asia"
"Tajikistan","tajikistan","6,481,000","2023",83,"Central Asia"
"Ethiopia","ethiopia","5,690,000","2023",84,"Africa"
"Uruguay","uruguay","5,682,000","2023",85,"South America"
"Ghana","ghana","5,519,000","2023",86,"Africa"
"Croatia","croatia","5,518,000","2023",87,"Europe"
"Lithuania","lithuania","5,426,000","2023",88,"Europe"
"Sri Lanka","sri-lanka","5,326,000","2023",89,"South Asia"
"Lebanon","lebanon","5,161,000","2023",90,"Middle East"
"Guatemala","guatemala","4,995,000","2023",91,"Central America and the Caribbean"
"Slovenia","slovenia","4,739,000","2023",92,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","4,682,000","2023",93,"Europe"
"Georgia","georgia","4,526,000","2023",94,"Central Asia"
"Panama","panama","4,485,000","2023",95,"Central America and the Caribbean"
"Bolivia","bolivia","4,375,000","2023",96,"South America"
"Armenia","armenia","4,265,000","2023",97,"Central Asia"
"Nigeria","nigeria","4,094,000","2023",98,"Africa"
"Zambia","zambia","3,986,000","2023",99,"Africa"
"Kyrgyzstan","kyrgyzstan","3,944,000","2023",100,"Central Asia"
"Kenya","kenya","3,824,000","2023",101,"Africa"
"Sudan","sudan","3,815,000","2023",102,"Africa"
"Costa Rica","costa-rica","3,751,000","2023",103,"Central America and the Caribbean"
"Cambodia","cambodia","3,673,000","2023",104,"East and Southeast Asia"
"Latvia","latvia","3,428,000","2023",105,"Europe"
"Honduras","honduras","3,334,000","2023",106,"Central America and the Caribbean"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","3,229,000","2023",107,"Africa"
"Estonia","estonia","3,225,000","2023",108,"Europe"
"Iceland","iceland","3,005,000","2023",109,"Europe"
"Mozambique","mozambique","2,860,000","2023",110,"Africa"
"Albania","albania","2,857,000","2023",111,"Europe"
"Nepal","nepal","2,853,000","2023",112,"South Asia"
"El Salvador","el-salvador","2,803,000","2023",113,"Central America and the Caribbean"
"Zimbabwe","zimbabwe","2,491,000","2023",114,"Africa"
"North Macedonia","north-macedonia","2,467,000","2023",115,"Europe"
"Bhutan","bhutan","2,344,000","2023",116,"South Asia"
"Cote d'Ivoire","cote-divoire","2,315,000","2023",117,"Africa"
"Cyprus","cyprus","2,288,000","2023",118,"Europe"
"Luxembourg","luxembourg","2,212,000","2023",119,"Europe"
"Trinidad and Tobago","trinidad-and-tobago","2,139,000","2023",120,"Central America and the Caribbean"
"Nicaragua","nicaragua","1,849,000","2023",121,"Central America and the Caribbean"
"Tanzania","tanzania","1,818,000","2023",122,"Africa"
"Cameroon","cameroon","1,798,000","2023",123,"Africa"
"Yemen","yemen","1,790,000","2023",124,"Middle East"
"Senegal","senegal","1,772,000","2023",125,"Africa"
"Kosovo","kosovo","1,555,000","2023",126,"Europe"
"Mongolia","mongolia","1,510,000","2023",127,"East and Southeast Asia"
"Uganda","uganda","1,452,000","2023",128,"Africa"
"Jamaica","jamaica","1,242,000","2023",129,"Central America and the Caribbean"
"Mali","mali","1,222,000","2023",130,"Africa"
"New Caledonia","new-caledonia","1,174,000","2023",131,"Australia and Oceania"
"Papua New Guinea","papua-new-guinea","1,148,000","2023",132,"East and Southeast Asia"
"Montenegro","montenegro","1,082,000","2023",133,"Europe"
"Guinea","guinea","1,060,000","2023",134,"Africa"
"Mauritius","mauritius","955,000","2023",135,"Africa"
"Brunei","brunei","904,000","2023",136,"East and Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","842,000","2023",137,"Africa"
"Malta","malta","829,000","2023",138,"Europe"
"Mauritania","mauritania","812,000","2023",139,"Africa"
"Gabon","gabon","785,000","2023",140,"Africa"
"Moldova","moldova","779,000","2023",141,"Europe"
"Madagascar","madagascar","759,000","2023",142,"Africa"
"Botswana","botswana","758,000","2023",143,"Africa"
"Burkina Faso","burkina-faso","749,000","2023",144,"Africa"
"Malawi","malawi","731,000","2023",145,"Africa"
"Namibia","namibia","646,000","2023",146,"Africa"
"Afghanistan","afghanistan","627,000","2023",147,"South Asia"
"Bahamas, The","bahamas-the","608,000","2023",148,"Central America and the Caribbean"
"Suriname","suriname","537,000","2023",149,"South America"
"Guam","guam","525,000","2023",150,"Australia and Oceania"
"Benin","benin","505,000","2023",151,"Africa"
"Haiti","haiti","472,000","2023",152,"Central America and the Caribbean"
"Maldives","maldives","432,000","2023",153,"South Asia"
"Fiji","fiji","427,000","2023",154,"Australia and Oceania"
"Macau","macau","427,000","2023",155,"East and Southeast Asia"
"Niger","niger","377,000","2023",156,"Africa"
"West Bank","west-bank","352,000","2023",157,"Middle East"
"Gaza Strip","gaza-strip","352,000","2023",158,"Middle East"
"Equatorial Guinea","equatorial-guinea","349,000","2023",159,"Africa"
"French Polynesia","french-polynesia","345,000","2023",160,"Australia and Oceania"
"Virgin Islands","virgin-islands","326,000","2023",161,"Central America and the Caribbean"
"Togo","togo","326,000","2023",162,"Africa"
"Barbados","barbados","320,000","2023",163,"Central America and the Caribbean"
"Aruba","aruba","305,000","2023",164,"Central America and the Caribbean"
"Rwanda","rwanda","294,000","2023",165,"Africa"
"Eswatini","eswatini","285,000","2023",166,"Africa"
"Timor-Leste","timor-leste","277,000","2023",167,"East and Southeast Asia"
"Guyana","guyana","259,000","2023",168,"South America"
"Eritrea","eritrea","243,000","2023",169,"Africa"
"Belize","belize","220,000","2023",170,"Central America and the Caribbean"
"Djibouti","djibouti","210,000","2023",171,"Africa"
"Cabo Verde","cabo-verde","200,000","2023",172,"Africa"
"Liberia","liberia","199,000","2023",173,"Africa"
"Greenland","greenland","190,000","2023",174,"North America"
"Faroe Islands","faroe-islands","180,000","2023",175,"Europe"
"Cayman Islands","cayman-islands","176,000","2023",176,"Central America and the Caribbean"
"Bermuda","bermuda","172,000","2023",177,"North America"
"Chad","chad","167,000","2023",178,"Africa"
"Gambia, The","gambia-the","162,000","2023",179,"Africa"
"Somalia","somalia","156,000","2023",180,"Africa"
"Seychelles","seychelles","156,000","2023",181,"Africa"
"Sierra Leone","sierra-leone","149,000","2023",182,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","148,000","2023",183,"Central America and the Caribbean"
"South Sudan","south-sudan","136,000","2023",184,"Africa"
"Burundi","burundi","131,000","2023",185,"Africa"
"Lesotho","lesotho","104,000","2023",186,"Africa"
"Turks and Caicos Islands","turks-and-caicos-islands","94,000","2023",187,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","93,000","2023",188,"Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","72,000","2023",189,"Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","63,000","2023",190,"Central America and the Caribbean"
"Central African Republic","central-african-republic","63,000","2023",191,"Africa"
"Grenada","grenada","60,000","2023",192,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","55,000","2023",193,"Central America and the Caribbean"
"Samoa","samoa","54,000","2023",194,"Australia and Oceania"
"Gibraltar","gibraltar","50,000","2023",195,"Europe"
"American Samoa","american-samoa","50,000","2023",196,"Australia and Oceania"
"Dominica","dominica","41,000","2023",197,"Central America and the Caribbean"
"Vanuatu","vanuatu","39,000","2023",198,"Australia and Oceania"
"Solomon Islands","solomon-islands","37,000","2023",199,"Australia and Oceania"
"Tonga","tonga","34,000","2023",200,"Australia and Oceania"
"Comoros","comoros","32,000","2023",201,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","29,000","2023",202,"Africa"
"Guinea-Bissau","guinea-bissau","29,000","2023",203,"Africa"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","26,000","2023",204,"North America"
"Nauru","nauru","19,000","2023",205,"Australia and Oceania"
"Cook Islands","cook-islands","17,000","2023",206,"Australia and Oceania"
"Kiribati","kiribati","12,000","2023",207,"Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","10,000","2023",208,"South America"
"Montserrat","montserrat","6,000","2023",209,"Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","5,000","2023",210,"Africa"
"Niue","niue","3,000","2023",211,"Australia and Oceania"
